Source,Attribute Name,Label,Description,Data Type,Segment,Valid Range Min,Valid Range Max,Special Values,FCRA Regulated,FCRA Note,Auto_Loan_Min,Auto_Loan_Max,Auto_Loan_Mean,Auto_Loan_Median,Auto_Loan_Std,Auto_Loan_KS,Auto_Loan_PSI,Auto_Loan_Importance,Credit_Card_Min,Credit_Card_Max,Credit_Card_Mean,Credit_Card_Median,Credit_Card_Std,Credit_Card_KS,Credit_Card_PSI,Credit_Card_Importance,Mortgage_Min,Mortgage_Max,Mortgage_Mean,Mortgage_Median,Mortgage_Std,Mortgage_KS,Mortgage_PSI,Mortgage_Importance,Personal_Loan_Min,Personal_Loan_Max,Personal_Loan_Mean,Personal_Loan_Median,Personal_Loan_Std,Personal_Loan_KS,Personal_Loan_PSI,Personal_Loan_Importance
Experian,NUM_30DPD_12M,Number of 30+ DPD in Last 12 Months,Count of tradelines showing 30 or more days past due in the last 12 months.,integer,delinquency,0,99,-1=No Data; -7=Not Available,Yes,Experian is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,15,0.45,0,1.2,35.2,0.055,0.18,0,20,0.38,0,1.0,30.8,0.048,0.15,0,10,0.15,0,0.6,25.2,0.035,0.12,0,18,0.52,0,1.4,38.5,0.062,0.2
Experian,NUM_60DPD_12M,Number of 60+ DPD in Last 12 Months,Count of tradelines showing 60 or more days past due in the last 12 months.,integer,delinquency,0,99,-1=No Data; -7=Not Available,Yes,Experian is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,10,0.22,0,0.8,38.5,0.06,0.16,0,12,0.18,0,0.7,34.2,0.052,0.13,0,6,0.08,0,0.4,28.8,0.038,0.1,0,12,0.28,0,0.9,42.1,0.068,0.18
Experian,NUM_90DPD_24M,Number of 90+ DPD in Last 24 Months,Count of tradelines showing 90 or more days past due in the last 24 months.,integer,delinquency,0,99,-1=No Data; -7=Not Available,Yes,Experian is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,8,0.15,0,0.6,40.2,0.065,0.15,0,10,0.12,0,0.5,36.5,0.058,0.12,0,5,0.05,0,0.3,30.1,0.042,0.09,0,9,0.2,0,0.7,44.8,0.072,0.17
Experian,WORST_DPD_12M,Worst Delinquency Status in Last 12 Months,Highest delinquency status code across all tradelines in the past 12 months.,categorical,delinquency,0,9,0=Current; 1=30 DPD; 2=60 DPD; 3=90 DPD; 4=120 DPD; 5=150+ DPD; 7=Charge-off/Collection; 8=Repossession; 9=Foreclosure; -1=No Data; -7=Not Available,Yes,Experian is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,9,0.52,0,1.3,36.8,0.05,0.17,0,7,0.42,0,1.1,32.5,0.042,0.14,0,9,0.18,0,0.7,26.2,0.032,0.11,0,7,0.6,0,1.5,40.1,0.058,0.19
Experian,NUM_INQ_6M,Number of Inquiries in Last 6 Months,Count of hard credit inquiries in the past 6 months.,integer,inquiry,0,99,-1=No Data; -7=Not Available,Yes,Experian is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,25,2.8,2,3.1,18.5,0.038,0.09,0,30,1.5,1,2.2,15.2,0.03,0.07,0,20,2.2,2,2.5,12.8,0.025,0.06,0,28,3.5,3,3.8,20.2,0.045,0.1
Experian,NUM_NEW_TL_12M,Number of New Tradelines in Last 12 Months,Count of tradelines opened in the last 12 months.,integer,new_credit,0,99,-1=No Data; -7=Not Available,Yes,Experian is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,15,2.1,2,2.3,14.2,0.032,0.07,0,20,1.8,1,2.0,12.5,0.028,0.06,0,12,1.2,1,1.5,10.8,0.022,0.04,0,18,2.5,2,2.8,16.5,0.038,0.08
Experian,MONTHS_SINCE_DLQ,Months Since Most Recent Delinquency,Number of months since the most recent delinquency event on any tradeline.,integer,delinquency,0,999,-1=Never Delinquent; -7=Not Available,Yes,Experian is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,300,42,28,45,25.8,0.042,0.13,0,350,48,32,50,22.5,0.038,0.11,0,400,62,45,58,18.2,0.03,0.08,0,280,38,24,42,28.5,0.048,0.14
Experian,NUM_PUBLIC_RECORDS,Number of Public Records,"Count of public record items including bankruptcies, tax liens, and civil judgments.",integer,public_record,0,99,-1=No Data; -7=Not Available,Yes,Experian is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,5,0.12,0,0.4,22.5,0.038,0.1,0,5,0.08,0,0.3,18.2,0.032,0.08,0,3,0.04,0,0.2,15.5,0.025,0.06,0,6,0.15,0,0.5,25.8,0.045,0.11
Experian,NUM_COLLECTIONS,Number of Collection Accounts,Count of tradelines currently in collection status.,integer,derogatory,0,99,-1=No Data; -7=Not Available,Yes,Experian is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,15,0.85,0,1.8,28.5,0.05,0.12,0,12,0.62,0,1.5,24.2,0.042,0.09,0,8,0.25,0,0.8,18.8,0.032,0.07,0,18,1.05,0,2.2,32.1,0.058,0.14
Experian,PCT_TL_CURRENT,Percent Tradelines Current,Percentage of all tradelines that are currently in good standing (current).,float,payment_history,0,100,-1=No Tradelines; -7=Not Available,Yes,Experian is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,100,88.5,95,18.2,30.2,0.038,0.15,0,100,91.2,97,15.5,26.8,0.032,0.12,0,100,95.5,100,10.2,20.5,0.025,0.09,0,100,86.2,93,20.5,33.8,0.045,0.16
Experian,TOT_HI_CRED,Total High Credit/Credit Limit,Sum of high credit or credit limit amounts across all tradelines.,integer,credit_capacity,0,9999999,-1=No Data; -7=Not Available,Yes,Experian is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,3000000,125000,72000,168000,10.5,0.028,0.05,0,2500000,95000,55000,125000,8.8,0.022,0.04,0,8000000,420000,325000,380000,7.2,0.018,0.03,0,2200000,105000,58000,145000,12.2,0.032,0.06
Experian,TOT_MONTHLY_PMT,Total Monthly Payment Amount,Sum of scheduled monthly payment amounts across all tradelines.,integer,payment,0,999999,-1=No Data; -7=Not Available,Yes,Experian is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,25000,1850,1200,2100,12.8,0.035,0.06,0,15000,980,550,1200,10.2,0.028,0.04,0,35000,3200,2400,2800,8.5,0.022,0.03,0,20000,1520,950,1800,14.5,0.04,0.07
Experian,NUM_BANKRUPT,Number of Bankruptcies,"Total count of bankruptcy public records (Chapter 7, 11, or 13).",integer,public_record,0,10,-1=No Data; -7=Not Available,Yes,Experian is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,4,0.08,0,0.3,20.5,0.035,0.09,0,3,0.05,0,0.2,16.8,0.028,0.07,0,2,0.02,0,0.1,14.2,0.022,0.05,0,5,0.1,0,0.4,24.2,0.042,0.1
Experian,MTHS_SINCE_BANKRUPT,Months Since Most Recent Bankruptcy,Number of months since the most recent bankruptcy filing.,integer,public_record,0,999,-1=No Bankruptcy; -7=Not Available,Yes,Experian is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,0,240,68,55,48,18.2,0.032,0.08,0,240,72,60,50,15.5,0.028,0.06,0,240,85,72,55,12.8,0.022,0.05,0,240,62,48,45,20.5,0.038,0.09
Experian,AVG_TL_AGE_MTHS,Average Tradeline Age (Months),Average age in months across all tradeline accounts.,float,time_on_file,0,999,-1=No Tradelines; -7=Not Available,Yes,Experian is a consumer reporting agency (CRA). All attributes from the consumer credit file are FCRA-regulated.,1,400,85,72,55,16.5,0.03,0.1,1,450,98,85,60,14.2,0.025,0.08,3,500,118,105,65,12.5,0.02,0.06,1,380,78,65,52,18.8,0.035,0.11
